,Premise,Hypothesis,Label,Split,Folder
599,"Rest it against the damn doorframe, eddie; you're like a deer on roller-skates.","Rest your arm against the doorframe, Eddie; you're looking unstable.",entailment,train,"Rest it against the damn doorframe, eddie; you're like a deer on roller-skates."
600,The good news is that even while Congress sleeps there are those on both the right and left that recognize the dangers.,The Congress is anaware of the dangers. ,entailment,train,The good news is that even while Congress sleeps there are those on both the right and left that recognize the dangers.
601,The good news is that even while Congress sleeps there are those on both the right and left that recognize the dangers.,There is bipatisan blindness towards the dangers. ,contradiction,train,The good news is that even while Congress sleeps there are those on both the right and left that recognize the dangers.
602,The good news is that even while Congress sleeps there are those on both the right and left that recognize the dangers.,Members of the Congress are sleeping. ,neutral,train,The good news is that even while Congress sleeps there are those on both the right and left that recognize the dangers.
603,There are few things worse than being bludgeoned into reading a book you hate .,Being forced to read a book that you dislike the most is one of the worst things that can happen in life.,entailment,train,There are few things worse than being bludgeoned into reading a book you hate .
604,The turkey was as dry as the ocean,The turkey was really dry,contradiction,test,The turkey was as dry as the ocean
605,They put up a brave face as governments become like tightening iron fists.,"As governments become more and more authoritarian, they continue to put up a brave face.",entailment,train,They put up a brave face as governments become like tightening iron fists.
606,Valentinos mind was like a spilled box of beads bouncing in every direction.,Valentinos mind was clear,contradiction,train,Valentinos mind was like a spilled box of beads bouncing in every direction.
607,The woman had a blue feeling.,The woman was feeling a kind of melancholy.,entailment,train,The woman had a blue feeling.
608,She was sure she was living this fantasy romance and kept deluding herself.,She was totally under the illusion that she was living a romantic adventure.,entailment,dev,She was sure she was living this fantasy romance and kept deluding herself.
609,I wrestled with this decision for years.,I eased with this decision for years.,contradiction,train,I wrestled with this decision for years.
610,His political ideas color his lectures.,The professor always includes his political ideas in his lectures.,entailment,train,His political ideas color his lectures.
611,"There was really nothing to do, no magazines or books or a television or a radio, and I still felt like a scooped-out pumpkin .","I felt light-headed and kind of hollow, even though there was nothing to do like read or watch tv.",entailment,test,"There was really nothing to do, no magazines or books or a television or a radio, and I still felt like a scooped-out pumpkin ."
612,A little stubble on his square jaw made him look like a roguish viking raider .,The little bit of stubble on his jaw made him look tame and unappealing.,contradiction,train,A little stubble on his square jaw made him look like a roguish viking raider .
613,The huge waves smacked the small boat and it sank shortly thereafter.,The huge waves gently touched the small boat and it sank shortly thereafter.,contradiction,train,The huge waves smacked the small boat and it sank shortly thereafter.
614,You just started staring off into space and smiling like Cruella De Vil.,You began to stare off into space and smile in a way that looked safe.,contradiction,train,You just started staring off into space and smiling like Cruella De Vil.
615,They were like a crusty chunk of brie cheese with legs.,"They were cute things, black and hard.",contradiction,test,They were like a crusty chunk of brie cheese with legs.
616,He's as religious as Richard Dawkins,He's not religious,entailment,train,He's as religious as Richard Dawkins
617,"Some women could handle it, but sarah was like a translucent piece of china.",Sarah was too fragile and delicate to handle it like some other women could.,entailment,train,"Some women could handle it, but sarah was like a translucent piece of china."
618,It was pure dumb luck that I found out about it.,I only found out accidentally. ,entailment,train,It was pure dumb luck that I found out about it.
619,It was pure dumb luck that I found out about it.,She knew what she was looking for,contradiction,train,It was pure dumb luck that I found out about it.
620,It was pure dumb luck that I found out about it.,What he said was not smart. ,neutral,train,It was pure dumb luck that I found out about it.
621,I wanted that gift as much as cancer,I did not want that gift,entailment,train,I wanted that gift as much as cancer
622,Tim in particular used some spicy language of his own.,He used vulgar language. ,entailment,dev,Tim in particular used some spicy language of his own.
623,Tim in particular used some spicy language of his own.,He maintained a very poilite tone. ,contradiction,dev,Tim in particular used some spicy language of his own.
624,Tim in particular used some spicy language of his own.,He ate spicy food before talking. ,neutral,dev,Tim in particular used some spicy language of his own.
625,Fear clogged her mind.,Her fear was so terrifying that it was blocking her mind.,entailment,train,Fear clogged her mind.
626,She is like a rare stone in a museum surrounded by laser lights.,She is so damn untouchable,entailment,train,She is like a rare stone in a museum surrounded by laser lights.
627,"you should have sent them away the minute you realized the earrings were gone,"" he heard himself say, and each word was like a crystal thunderclap","It would have been the right thing to do, to send them away as soon as you realized the earrings were gone,"" he said to himself, each word sounding muddled and indistinguishable.",contradiction,train,"You should have sent them away the minute you realized the earrings were gone, he heard himself say, and each word was like a crystal thunderclap"
628,Everything bowed to his glory.,Every second his glory is hampered by something.,contradiction,train,Everything bowed to his glory.
629,"Sure, I'd played plenty of souza in band class, but I hadn't expected something llike a circus piece man.","I had played a lot of souza in band class, but I didn't expect the man to be so serious and dour.",contradiction,train,"Sure, I'd played plenty of souza in band class, but I hadn't expected something llike a circus piece man."
630,The ex-slave tasted freedom shortly before she died.,"The ex-slave was so close to getting her freedom, but she died before that.",contradiction,train,The ex-slave tasted freedom shortly before he died.
631,Her hands are soft as alligator skin.,Her hands are very soft.,contradiction,train,Her hands are soft as alligator skin.
632,The tall girl pivoted like a ballerina toward the bag.,The tall girl turned toward the bag gracefully.,entailment,test,The tall girl pivoted like a ballerina toward the bag.
633,The wheel has come full circle.,Everything is back to the way it was before.,entailment,dev,The wheel has come full circle.
634,"And his heart within him  fluttered  ,",His heart within him is fully rotten.,contradiction,train,"And his heart within him  fluttered  ,"
635,Fear had changed him to a shaken jelly.,He had conquered his fear and now he is a strong and capable person.,contradiction,test,Fear had changed him to a shaken jelly.
636,Your guardian angel is just a little too much like a kid on Christmas morning.,Your guardian angel is a little too apathetic.,contradiction,train,Your guardian angel is just a little too much like a kid on Christmas morning.
637,Off she went like a ballistic missile.,Off she went destructively,entailment,train,Off he went like a ballistic missile.
638,The girl sewed as carefully as a bull,The girl sewed very carefully.,contradiction,test,The girl sewed as carefully as a bull
639,The force decimated the village at night.,The force are known for always attacking their enemy at night.,entailment,test,The force decimated the village at night.
640,"Whenever the sun goes away, he stays up there keeping the magic like a sacred burning flame.",He keeps the magic dead by staying up there whenever the sun goes away.,contradiction,train,"Whenever the sun goes away, he stays up there keeping the magic like a sacred burning flame."
641,"Mrs. Saunders looked at me, her hands shaking, making her rosary beads sound like a wind chime .","Mrs. Saunders' hands were shaking, making her rosary beads click against each other as she looked at me.",entailment,train,"Mrs. Saunders looked at me, her hands shaking, making her rosary beads sound like a wind chime ."
642,Sariel was like a long distance runner or swimmer.,Sariel was built lean,entailment,train,Sariel was like a long distance runner or swimmer.
643,He was like a jungle predator.,He was clumsy.,contradiction,test,He was like a jungle predator.
644,The flowers danced in the gentle breeze.,The flower bends to and fro in the wind.,entailment,train,The flowers danced in the gentle breeze.
645,No wonder all those silly cheerleaders swoon over him regardless of the fact that he's like a sumo wrestler.,No wonder all those silly cheerleaders swoon over him regardless of the fact that he's big,entailment,dev,No wonder all those silly cheerleaders swoon over him regardless of the fact that he's like a sumo wrestler.
646,"Yes another security guard, caitlyn assumed, since he was well over six feet tall and looked like an army tank.","Yes, another security guard, Caitlyn assumed, since he was towering at over six feet tall and looked fragile.",contradiction,dev,"Yes another security guard, caitlyn assumed, since he was well over six feet tall and looked like an army tank."
647,You are an oracle whose predictions have always come like highly researched hypotheses.,Your predictions have always been accurate,entailment,train,You are an oracle whose predictions have always come like highly researched hypotheses.
648,I need another car like a bird needs shoes,I need another car,contradiction,dev,I need another car like a bird needs shoes
649,With the crisis the bubble exploded.,The crisis made them happier.,contradiction,train,With the crisis the bubble exploded.
650,The moon glared back at itself from the lake's surface.,The moon was hidden behind the clouds.,contradiction,train,The moon glared back at itself from the lake's surface.
651,He thinks these documents will leak out soon or late.,He thinks these documents will never leak out.,contradiction,train,He thinks these documents will leak out soon or late.
652,"Her short, blue hair stuck out all over the place, her eyes were like a goth clown .","She had eyes that looked healthy and clear, and her hair was blue, cut short, and messy.",contradiction,dev,"Her short, blue hair stuck out all over the place, her eyes were like a goth clown ."
653,"Then rolling onto his own back, with joey clamped in front of him, he rendered the monster like an upturned tortoise.","By rolling onto his back and holding Joey in front of him, he made the monster helpless.",entailment,train,"Then rolling onto his own back, with joey clamped in front of him, he rendered the monster like an upturned tortoise."
654,Every star seemed to flare with new intensity.,Every star seemed to shine with new intensity.,entailment,test,Every star seemed to flare with new intensity.
655,Please join me as we work together to fight hunger in your community.,Social welfae bolstering is proposed,entailment,train,Please join me as we work together to fight hunger in your community.
656,Please join me as we work together to fight hunger in your community.,Fight the hungry.,contradiction,train,Please join me as we work together to fight hunger in your community.
657,Please join me as we work together to fight hunger in your community.,Community fighters were hungry.,neutral,train,Please join me as we work together to fight hunger in your community.
658,He was as graceful as a giraffe,He was graceful,contradiction,train,He was as graceful as a giraffe
659,The roots of the war were in the economical crisis,The economical crisis was the cause of the war,entailment,train,The roots of the war were in the economical crisis
660,The roots of the war were in the economical crisis,The effect of the war was the economical crisis,contradiction,train,The roots of the war were in the economical crisis
661,The roots of the war were in the economical crisis,The real causes of the war were in the economical crisis,entailment,train,The roots of the war were in the economical crisis
662,The roots of the war were in the economical crisis,The reasons that carried to the war were in the economical crisis,entailment,train,The roots of the war were in the economical crisis
663,I picked it up and eyed him warily; his nostrils were like an agitated bull,I eyed him warily as I picked it up; his nostrils were flaring.,entailment,train,I picked it up and eyed him warily; his nostrils were like an agitated bull
664,A golden sun shines high in the sky,a black sun shines high in the sky,contradiction,train,A golden sun shines high in the sky
665,A golden sun shines high in the sky,a very bright sun shines high in the sky,entailment,train,A golden sun shines high in the sky
666,A golden sun shines high in the sky,a very expensive sun shines high in the sky,neutral,train,A golden sun shines high in the sky
667,A golden sun shines high in the sky,a yellow sun shines high in the sky,entailment,train,A golden sun shines high in the sky
668,she's light as a freight train,She's heavy,entailment,train,she's light as a freight train
669,But today carly wanted to feel like a kick-ass chick in a superhero movie.,"Today, Carly wanted to feel like she was powerless.",contradiction,test,But today carly wanted to feel like a kick-ass chick in a superhero movie.
670,"Though the tricycle was moving fast, the wind was like a burning coal.","Even though the tricycle was going fast, the wind was still hot.",entailment,train,"Though the tricycle was moving fast, the wind was like a burning coal."
671,"On the rock, at her feet, anita was like a discarded wax figurine.","On the rock, at her feet, anita was moving.",contradiction,train,"On the rock, at her feet, anita was like a discarded wax figurine."
672,Come to think of it this is a rather cool feature of AOL.,The online provider implemented an interesting feature. ,entailment,test,Come to think of it this is a rather cool feature of AOL.
673,Come to think of it this is a rather cool feature of AOL.,This AOL feature is completely useless. ,contradiction,test,Come to think of it this is a rather cool feature of AOL.
674,Come to think of it this is a rather cool feature of AOL.,AOL is the collest online service provider. ,neutral,test,Come to think of it this is a rather cool feature of AOL.
675,"Authority is a chair, it needs legs to stand.",Authority is a broken chair.,contradiction,train,"Authority is a chair, it needs legs to stand."
676,He was living in his dream world  shutting his eyes in front of reality.,He was a practical person fully aware of the harsh reality of the world.,contradiction,train,He was living in his dream world  shutting his eyes in front of reality.
677,"Fell , and could not  rise  from weakness ,","Fell, and retain all strengths.",contradiction,test,"Fell , and could not  rise  from weakness ,"
678,The company dumped him after many years of service.,"After many years of loyal service, the company fired him.",entailment,train,The company dumped him after many years of service.
679,The warrior was a lion on the battlefield.,The warrior was brave and strong on the battlefield who never gives up.,entailment,train,The warrior was a lion on the battlefield.
680,"You both have something important to say, but time is like a dwindling hourglass.","Even though you both have something pressing to say, time is limited.",entailment,train,"You both have something important to say, but time is like a dwindling hourglass."
681,"Let your heart  speak  , Minnehaha ! .","Don't be influenced by your emotions when deciding, think with your head, Minnehaha.",contradiction,train,"Let your heart  speak  , Minnehaha ! ."
682,His head was as smooth as porridge,His head was smooth,contradiction,test,His head was as smooth as porridge
683,We streamed money into the education of our children.,Provide the best education possible for our children because we are putting money into it.,entailment,train,We streamed money into the education of our children.
684,The woman burst in a warm laughter.,The woman burst in a hysterical sad laughter.,contradiction,dev,The woman burst in a warm laughter.
685,John fell behind his class mates.,John's performance is rather insignificant in comparison to his classmates.,entailment,train,John fell behind his class mates.
686,The teapot quivered as the water boiled.,The teapot doesn't get affected by the heat as the water starts boiling.,contradiction,train,The teapot quivered as the water boiled.
687,"Maxine fortenberry came in, her walk ponderous and her face like a thunderstorm.","Maxine fortenberry came in, looking angry and moving slowly.",entailment,train,"Maxine fortenberry came in, her walk ponderous and her face like a thunderstorm."
688,The gun kicked back into my shoulder.,The gun sprang back into my shoulder.,entailment,train,The gun kicked back into my shoulder.
689,The room was like an underground warehouse,The room was tiny.,contradiction,train,The room was like an underground warehouse
690,The faculty meeting was a tragedy.,The faculty meeting was very bad.,entailment,dev,The faculty meeting was a tragedy.
691,The book captured her imagination.,The book caught her imagination.,entailment,test,The book captured her imagination.
692,Linoge stands in the driving snow like a man in his own living room.,"Linoge stands in the driving snow, looking comfortable.",entailment,test,Linoge stands in the driving snow like a man in his own living room.
693,Murkowski is pushing legislation through Congress.,He is proposing new bills,entailment,train,Murkowski is pushing legislation through Congress.
694,Murkowski is pushing legislation through Congress.,Murkowski is pushing against Congress,contradiction,train,Murkowski is pushing legislation through Congress.
695,Murkowski is pushing legislation through Congress.,The Congress is next to Murkowski. ,neutral,train,Murkowski is pushing legislation through Congress.
696,She was like a kitten in a den of coyotes.,She was nervous,entailment,train,She was like a kitten in a den of coyotes.
697,"Now and again, as other people walked by, she passed through them as if she were like a mirage.","Now and again, as other people walked by, she passed through them as if she were substantial.",contradiction,dev,"Now and again, as other people walked by, she passed through them as if she were like a mirage."
698,Her passion is streaming through the air.,Her passion is flowing through the air.,entailment,train,Her passion is streaming through the air.
699,Her words were like a sharp blade .,Her words were gentle and soothing.,contradiction,train,Her words were like a sharp blade .
700,The dancer floated across the stage.,The dancer moved fluidly across the stage.,entailment,train,The dancer floated across the stage.
701,Alexander's spirits rose.,Alexander's spirits sank.,contradiction,train,Alexander's spirits rose.
702,Middle age minimized her appetite for travel.,She decided to travel the world because middle age increased her appetite for travel.,contradiction,train,Middle age minimized her appetite for travel.
703,"Luca's eyes were yellow, his pupils like an obsidian pinhead","Luca's eyes were yellow, and his pupils were small and black.",entailment,dev,"Luca's eyes were yellow, his pupils like an obsidian pinhead"
704,The faculty meeting was a circus.,The faculty meeting was chaotic and ridiculous.,entailment,train,The faculty meeting was a circus.
705,He always had an interest for the fruit of knowledge.,He always had a strong interest in learning and expanding his knowledge.,entailment,train,He always had an interest for the fruit of knowledge.
706,She swallowed all the men's hearts.,She did not capture attention of all the men.,contradiction,test,She swallowed all the men's hearts.
707,I won't stoop to reading other people's mail.,I won't stop reading other people's mail.,contradiction,test,I won't stoop to reading other people's mail.
708,The politician chopped down his rival.,The politician defeated his rival.,entailment,train,The politician chopped down his rival.
709,The weater in alter botanischer garten was like rain forest.,The weather in the botanical garden was arid.,contradiction,train,The weater in alter botanischer garten was like rain forest.
710,I restrained my anger and kept quiet.,I showed my anger and kept quiet.,contradiction,train,I restrained my anger and kept quiet.
711,I locked my joints like a tin man,I locked my joints stiffly,entailment,train,I locked my joints like a tin man
712,The future of our transportation system hangs in the balance.,The transportation system has a precarious future. ,entailment,test,The future of our transportation system hangs in the balance.
713,The future of our transportation system hangs in the balance.,The future of the transportation system is solid. ,contradiction,test,The future of our transportation system hangs in the balance.
714,The future of our transportation system hangs in the balance.,Everyone likes the transportation system. ,neutral,test,The future of our transportation system hangs in the balance.
715,He pulls a giant disc out and flashes it like a knockoff rolex .,He pulls out a giant disc and holds it up shamefully.,contradiction,train,He pulls a giant disc out and flashes it like a knockoff rolex .
716,Following the earlier quake Turkey accepted help from dozens of countries including Israel and Armenia with which it has frosty relations.,Historically Israel and Turkey have not had the best of relations. ,entailment,dev,Following the earlier quake Turkey accepted help from dozens of countries including Israel and Armenia with which it has frosty relations.
717,Following the earlier quake Turkey accepted help from dozens of countries including Israel and Armenia with which it has frosty relations.,Turkey has great relations with Israel and Armenia. ,contradiction,dev,Following the earlier quake Turkey accepted help from dozens of countries including Israel and Armenia with which it has frosty relations.
718,Following the earlier quake Turkey accepted help from dozens of countries including Israel and Armenia with which it has frosty relations.,Israel and Armenia are cold countries. ,neutral,dev,Following the earlier quake Turkey accepted help from dozens of countries including Israel and Armenia with which it has frosty relations.
719,After decades of drought the Western United states is declared a wasteland.,After decades of drought the Western United states is declared uninhabitable,entailment,dev,After decades of drought the Western United states is declared a wasteland.
720,His eyes are like a spring pansy .,His eyes are green.,contradiction,train,His eyes are like a spring pansy .
721,"A maintenance access ladder carried them down; it was like a damned barrel , and he wasn't delighted with having three people climbing down on top of him.","The maintenance access ladder was far and spacious, and he wasn't thrilled about having to carry three people down it.",contradiction,train,"A maintenance access ladder carried them down; it was like a damned barrel , and he wasn't delighted with having three people climbing down on top of him."
722,I embarked on life thirty years ago.,My life started thirty years ago.,entailment,train,I embarked on life thirty years ago.
723,"Despite all the other turmoil in my life, just the thought of seeing bo made me like a caffeine junkie.","I was jittery with anticipation at the thought of seeing Bo, despite all the other chaos in my life.",entailment,train,"Despite all the other turmoil in my life, just the thought of seeing bo made me like a caffeine junkie."
724,He shouldered the costs for the accident.,He bear the costs of this accident.,entailment,train,He shouldered the costs for the accident.
725,She babbles a lot of nonsense.,She avoids a lot of nonsense.,contradiction,train,She babbles a lot of nonsense.
726,The sky was on fire and he felt pain pouring down.,It was sunset and he felt an intense pain.,entailment,train,The sky was on fire and he felt pain pouring down.
727,The sky was on fire and he felt pain pouring down.,The sky was green and he felt an intense pain.,contradiction,train,The sky was on fire and he felt pain pouring down.
728,The sky was on fire and he felt pain pouring down.,The sky was red and he felt an intense pain.,entailment,train,The sky was on fire and he felt pain pouring down.
729,The sky was on fire and he felt pain pouring down.,The sky was white and he felt a light hint of pain.,contradiction,train,The sky was on fire and he felt pain pouring down.
730,Another derry memory came like a balefully fizzing firework,Another derry memory came shooting up from his subconscious,entailment,train,Another derry memory came like a balefully fizzing firework
731,The changing of the guard was like a well-oiled clock .,The changing of the guard was slow and choppy.,contradiction,train,The changing of the guard was like a well-oiled clock .
732,She was draped like a winter queen .,She was draped in black.,contradiction,train,She was draped like a winter queen .
733,His throat had gone like a shriveled-up leaf .,His throat had gone dry .,entailment,train,His throat had gone like a shriveled-up leaf .
734,He always flashes a smile.,He always wore a smile.,entailment,train,He always flashes a smile.
735,The place was packed and the tobacco smoke was like a london fog.,The place was packed and the tobacco smoke was thin.,contradiction,test,The place was packed and the tobacco smoke was like a london fog.
736,Your destiny is tied to the person you work for.,Your employer is very important for you. ,entailment,train,Your destiny is tied to the person you work for.
737,Your destiny is tied to the person you work for.,Your destiny is irelevant of your employer. ,contradiction,train,Your destiny is tied to the person you work for.
738,Your destiny is tied to the person you work for.,You are physically tied to your boss. ,neutral,train,Your destiny is tied to the person you work for.
739,The cat was as white as charcoal,The cat was black,entailment,train,The cat was as white as charcoal
740,I swallow the anger down and force my voice to come out like a cheerleader on crack.,I try to sound downbeat even though I'm angry.,contradiction,train,I swallow the anger down and force my voice to come out like a cheerleader on crack.
741,"Jake tried to pull the crystal off the battery to silence the phone, but it was stuck like a barnacle to a rusty ship.","Jake tried to remove the crystal from the battery to silence the phone, but it was loose.",contradiction,dev,"Jake tried to pull the crystal off the battery to silence the phone, but it was stuck like a barnacle to a rusty ship."
742,Then he collided into something like a marshmallow pond.,Then he collided into something soft and fluffy,entailment,train,Then he collided into something like a marshmallow pond.
743,The protagonist Trinity Pierce is a college professor with a murky past who lives and works in Cambridge Massachusetts.,The protagonnist's past hides certain secrets.,entailment,train,The protagonist Trinity Pierce is a college professor with a murky past who lives and works in Cambridge Massachusetts.
744,The protagonist Trinity Pierce is a college professor with a murky past who lives and works in Cambridge Massachusetts.,The protagonist Trinity Pierce has a very clear and transparent history. ,contradiction,train,The protagonist Trinity Pierce is a college professor with a murky past who lives and works in Cambridge Massachusetts.
745,The protagonist Trinity Pierce is a college professor with a murky past who lives and works in Cambridge Massachusetts.,College professors make good movie protagonsists. ,neutral,train,The protagonist Trinity Pierce is a college professor with a murky past who lives and works in Cambridge Massachusetts.
746,"A bright light shines above you, the rest of the room is like a moonless night.","The room is dark, a bright light shines above you.",entailment,train,"A bright light shines above you, the rest of the room is like a moonless night."
747,She clawed the doorknob.,She scratched the doorknob with nails.,entailment,train,She clawed the doorknob.
748,A global catastrophe causes all major technology to be rendered like burned ashes.,A global catastrophe causes all major technology to be rendered useless.,entailment,test,A global catastrophe causes all major technology to be rendered like burned ashes.
749,Jane knew these dicsussions were the seeds of a potential conflict.,Jane knew there was potential for conflict when the conversations about the assignments began.,entailment,train,Jane knew these dicsussions were the seeds of a potential conflict.
750,My personal feelings color my judgment in this case.,My personal feelings and biases make me form a judgment about this situation.,entailment,dev,My personal feelings color my judgment in this case.
751,The candle flame twirled in the dark.,The candle flame twisted in the dark.,entailment,train,The candle flame twirled in the dark.
752,"As the ice is  swept  from rivers ,",The ice is constantly stuck to the sides of rivers.,contradiction,train,"As the ice is  swept  from rivers ,"
753,Their sudden appearance in the farmhouse was like a gust of arctic wind.,You couldn't feel their sudden appearance in the farmhouse.,contradiction,train,Their sudden appearance in the farmhouse was like a gust of arctic wind.
754,"They watched as the full moon completely rose out of the edge of the ocean, like a silver medallion , veiled by just a few wisps of a cloud.","They saw the full moon slowly and majestically rise out of the ocean, it was massive and bright.",entailment,test,"They watched as the full moon completely rose out of the edge of the ocean, like a silver medallion , veiled by just a few wisps of a cloud."
755,She knew she was burning in shame.,She knew she was making a total fool of herself.,entailment,train,She knew she was burning in shame.
756,I muffled my anger and kept quiet.,I showed my anger and kept quiet.,contradiction,train,I muffled my anger and kept quiet.
757,Her hair was almost like a raven's wing,Her hair was almost light.,contradiction,train,Her hair was almost like a raven's wing
758,The French bourgeoisie has rushed into a blind alley.,They do not know what they are doing. ,entailment,train,The French bourgeoisie has rushed into a blind alley.
759,The French bourgeoisie has rushed into a blind alley.,The French bourgeoisie know exactly what they are doing and where it will lead them. ,contradiction,train,The French bourgeoisie has rushed into a blind alley.
760,The French bourgeoisie has rushed into a blind alley.,Many blind people were in the alley. ,neutral,train,The French bourgeoisie has rushed into a blind alley.
761,They said that lately the castle was like a beehive.,They said that the castle had been empty lately.,contradiction,train,They said that lately the castle was like a beehive.
762,The moon smiled at the stars in the sky.,The moon gave the stars of the sky an opportunity to shine.,entailment,dev,The moon smiled at the stars in the sky.
763,The place was like a seedy den .,The place was dark and dirty .,entailment,train,The place was like a seedy den .
764,The Senator attacked the administration in his speech on Friday.,The Senator praised the administration in his speech on Friday.,contradiction,test,The Senator attacked the administration in his speech on Friday.
765,The moment had arrived for killing the past and coming back to life.,It was the moment to forget everything had happened and focus on one's life again.,entailment,train,The moment had arrived for killing the past and coming back to life.
766,But your skin still is like a covering of raw silk.,But your skin still has an apparent hardness.,contradiction,train,But your skin still is like a covering of raw silk.
767,The company booted him after many years of service.,"Despite spending many years with the company, he was fired.",entailment,train,The company booted him after many years of service.
768,Life rushes to replace death.,Many people are born compared to those who die,entailment,dev,Life rushes to replace death.
769,Life rushes to replace death.,More people die than are born,contradiction,dev,Life rushes to replace death.
770,Life rushes to replace death.,People live their lives rushing all the time. ,neutral,dev,Life rushes to replace death.
771,They polished off their dinner with a cognac.,Their dinner started off with a stronger drink of cognac.,contradiction,train,They polished off their dinner with a cognac.
772,"It wouldn't always be noticeable, but it was always like a physical pull.","Even though it wasn't always noticeable, it was always palpable.",entailment,train,"It wouldn't always be noticeable, but it was always like a physical pull."
773,For a brief moment this week excitement filled the streets of both Havana and Miami.,People in Havanna and Miami were celebrating. ,entailment,train,For a brief moment this week excitement filled the streets of both Havana and Miami.
774,For a brief moment this week excitement filled the streets of both Havana and Miami.,People in Havanna and Miami were completely quiet. ,contradiction,train,For a brief moment this week excitement filled the streets of both Havana and Miami.
775,For a brief moment this week excitement filled the streets of both Havana and Miami.,There were many cars on the street. ,neutral,train,For a brief moment this week excitement filled the streets of both Havana and Miami.
776,My brain is stable after the bottle of champagne.,My brain is strudy after the bottle of champagne.,entailment,train,My brain is stable after the bottle of champagne.
777,Am I supposed to swallow that story?,I don't believe your story.,entailment,train,Am I supposed to swallow that story?
778,It lit the fire between them like a match ignites timber.,It was a quick fire that burned between them.,entailment,test,It lit the fire between them like a match ignites timber.
779,Smoke rising from erupting pyrotechnics was like a london fog.,The smoke rising from the pyrotechnics was so thin it was easy to see.,contradiction,train,Smoke rising from erupting pyrotechnics was like a london fog.
780,"Charles, she's like a broom handle .","Charles, she's so beautiful and curvaceous.",contradiction,train,"Charles, she's like a broom handle ."
781,The Independence Day parade and the Christmas event in Fairfield all have cloudy futures.,Some big events may be canceled or adapted in a negative way. ,entailment,train,The Independence Day parade and the Christmas event in Fairfield all have cloudy futures.
782,The Independence Day parade and the Christmas event in Fairfield all have cloudy futures.,Independence Day parade and the Christmas event in Fairfield will be long-lived traditions. ,contradiction,train,The Independence Day parade and the Christmas event in Fairfield all have cloudy futures.
783,The Independence Day parade and the Christmas event in Fairfield all have cloudy futures.,Independence Day parade and the Christmas event in Fairfield will take place under a cloudy sky.,neutral,train,The Independence Day parade and the Christmas event in Fairfield all have cloudy futures.
784,The old van in the field is like a stiff sweatshirt.,The old van in the field is uncomfortable,contradiction,train,The old van in the field is like a stiff sweatshirt.
785,"You disagree? Okay, shoot!","You disagree? Oh... okay, no more questions.",contradiction,train,"You disagree? Okay, shoot!"
786,"He should be in his car now, driving away, and yet here he was, like a fly caught in a spiderweb.","He should have been driving away by now, but instead he was here, inert.",entailment,test,"He should be in his car now, driving away, and yet here he was, like a fly caught in a spiderweb."
787,"In addition, the storm trampled the town.","In addition, the disastrous storm, destroyed the town.",entailment,train,"In addition, the storm trampled the town."
788,They breezed through the job candidates.,They ignored through the job candidates.,contradiction,dev,They breezed through the job candidates.
789,You decline but the man is like a cocky salesman.,"Even though you decline, the man is still persistent.",entailment,train,You decline but the man is like a cocky salesman.
790,this problem has migrated to the uk.,this problem has not relocated to the uk.,contradiction,train,this problem has migrated to the uk.
791,Only the bare outlines of the stories are here.,You will not find the full stories here. ,entailment,train,Only the bare outlines of the stories are here.
792,Only the bare outlines of the stories are here.,All the details of the story are available.,contradiction,train,Only the bare outlines of the stories are here.
793,Only the bare outlines of the stories are here.,The stories are very entertaining.,neutral,train,Only the bare outlines of the stories are here.
794,His voice booms over my shoulder like a tornado twisting up alongside me.,"I hear his voice, dark and menacing, as he comes up alongside me.",entailment,train,His voice booms over my shoulder like a tornado twisting up alongside me.
795,Off she went like a wreckingball.,Off she went destructively,entailment,train,Off she went like a wreckingball.
796,No matter how many times you try you're always like a sloth at a racetrack.,"You're always too slow, no matter how many times you try.",entailment,train,No matter how many times you try you're always like a sloth at a racetrack.
797,The library grew back like ivy on a castle.,The library grew back in an ugly way,contradiction,train,The library grew back like ivy on a castle.
798,She was like a high-definition tv .,She was vibrant and sharp .,entailment,train,She was like a high-definition tv .
799,The dog is as light as a brick,the dog is heavy,entailment,train,The dog is as light as a brick
800,This pillow's as soft as stone,This pillow's soft,contradiction,test,This pillow's as soft as stone
801,The new band was absolutely on fire.,The new band turned out to be absolutely great.,entailment,train,The new band was absolutely on fire.
802,Terrys eyes changed to the threat now coming at him like a freight train.,"The threat was now coming at him quickly, and Terry's eyes changed in response.",entailment,train,Terrys eyes changed to the threat now coming at him like a freight train.
803,Gwendolyn felt like an international woman of mystery who held all the answers to all the questions this loverboy could ask.,Gwendolyn felt frumpy.,contradiction,train,Gwendolyn felt like an international woman of mystery who held all the answers to all the questions this loverboy could ask.
804,She had a heart of stone.,She is a cruel human being and her attitude was really mean and rude.,entailment,train,She had a heart of stone.
805,"I held my breath, waiting for what my gaze would fall upon, and I almost shrieked as I stared at his head, bald like a lamp post.","I was holding my breath, waiting to see what would be in front of me, and I almost screamed when I saw his bald head, it was so shiny.",entailment,test,"I held my breath, waiting for what my gaze would fall upon, and I almost shrieked as I stared at his head, bald like a lamp post."
806,Middle age dulled her appetite for travel.,Middle age made her less enthusiastic about travelling.,entailment,train,Middle age dulled her appetite for travel.
807,The old woman had an open heart.,The old woman was kind enough and generous.,entailment,test,The old woman had an open heart.
